x_train,y_train
"[0.8393194706994327, 0.8336483931947067, 0.8393194706994327]",25.5
"[0.8336483931947067, 0.8393194706994327, 0.8449905482041586]",25.2
"[0.8393194706994327, 0.8449905482041586, 0.8393194706994327]",25.6
"[0.8449905482041586, 0.8393194706994327, 0.8468809073724006]",25.6
"[0.8393194706994327, 0.8468809073724006, 0.8468809073724006]",25.800000000000004
"[0.8468809073724006, 0.8468809073724006, 0.8506616257088846]",27.099999999999998
"[0.8468809073724006, 0.8506616257088846, 0.87523629489603]",25.9
"[0.8506616257088846, 0.87523629489603, 0.8525519848771265]",23.300000000000004
"[0.87523629489603, 0.8525519848771265, 0.8034026465028354]",22.6
"[0.8525519848771265, 0.8034026465028354, 0.7901701323251417]",22.799999999999997
"[0.8034026465028354, 0.7901701323251417, 0.7939508506616255]",19.099999999999998
"[0.7901701323251417, 0.7939508506616255, 0.7240075614366728]",19.700000000000003
"[0.7939508506616255, 0.7240075614366728, 0.7353497164461247]",20.199999999999996
"[0.7240075614366728, 0.7353497164461247, 0.7448015122873344]",22.000000000000004
"[0.7353497164461247, 0.7448015122873344, 0.7788279773156899]",21.900000000000002
"[0.7448015122873344, 0.7788279773156899, 0.7769376181474479]",21.2
"[0.7788279773156899, 0.7769376181474479, 0.7637051039697541]",21.8
"[0.7769376181474479, 0.7637051039697541, 0.7750472589792059]",21.3
"[0.7637051039697541, 0.7750472589792059, 0.7655954631379961]",21.7
"[0.7750472589792059, 0.7655954631379961, 0.7731568998109639]",21.7
"[0.7655954631379961, 0.7731568998109639, 0.7731568998109639]",23.0
"[0.7731568998109639, 0.7731568998109639, 0.7977315689981095]",23.799999999999997
"[0.7731568998109639, 0.7977315689981095, 0.8128544423440451]",22.100000000000005
"[0.7977315689981095, 0.8128544423440451, 0.7807183364839319]",21.100000000000005
"[0.8128544423440451, 0.7807183364839319, 0.7618147448015122]",21.3
"[0.7807183364839319, 0.7618147448015122, 0.7655954631379961]",20.9
"[0.7618147448015122, 0.7655954631379961, 0.7580340264650282]",21.8
"[0.7655954631379961, 0.7580340264650282, 0.7750472589792059]",19.700000000000003
"[0.7580340264650282, 0.7750472589792059, 0.7353497164461247]",19.700000000000003
"[0.7750472589792059, 0.7353497164461247, 0.7353497164461247]",18.899999999999995
"[0.7353497164461247, 0.7353497164461247, 0.7202268431001888]",17.1
"[0.7353497164461247, 0.7202268431001888, 0.6862003780718335]",18.7
"[0.7202268431001888, 0.6862003780718335, 0.716446124763705]",21.2
"[0.6862003780718335, 0.716446124763705, 0.7637051039697541]",20.5
"[0.716446124763705, 0.7637051039697541, 0.7504725897920603]",20.800000000000004
"[0.7637051039697541, 0.7504725897920603, 0.7561436672967863]",18.8
"[0.7504725897920603, 0.7561436672967863, 0.7183364839319469]",16.499999999999996
"[0.7561436672967863, 0.7183364839319469, 0.6748582230623816]",18.1
"[0.7183364839319469, 0.6748582230623816, 0.7051039697542532]",15.6
"[0.6748582230623816, 0.7051039697542532, 0.657844990548204]",15.8
"[0.7051039697542532, 0.657844990548204, 0.661625708884688]",14.900000000000004
"[0.657844990548204, 0.661625708884688, 0.6446124763705103]",16.7
"[0.661625708884688, 0.6446124763705103, 0.6786389413988656]",18.1
"[0.6446124763705103, 0.6786389413988656, 0.7051039697542532]",18.500000000000004
"[0.6786389413988656, 0.7051039697542532, 0.7126654064272211]",18.1
